"","X","p25","sex","age1","y1v12","y1v19","y1v38","y1v55","y1v102","y1v117","y1v152","y1v168","y1v169","y1v170","y1v171","y1v179","y1v180","y1v190","y1v198","y1v210","usroriginalnonemissing","nysid","LgMarijFreq","DmgSchlPropPrev","MotorTheftPrev","TheftOver50Prev","CarriedWeaponPrev","AttackPrev","CheatingPrev","LoudUnrulyPrev","SoldHardDrgsPrev","AvoidPayingPrev","Stolen5to50Prev","SkipPrev","VarietyScore","ObscenePhonePrev","VarietyScore2","LnVarietyScore2","ethn3"
"11",70,1,1,11,3,5,1,1,3,1,5,5,1,5,5,4,4,3,4,1,"Rural",385104,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"12",71,1,1,11,3,5,1,1,3,1,5,5,3,5,5,4,2,1,4,1,"Rural",363902,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"13",73,1,1,11,3,5,1,3,1,1,5,5,3,5,5,2,3,3,4,1,"Urban",641102,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"14",74,1,1,11,3,5,1,3,4,4,5,5,2,3,4,3,2,2,4,2,"Rural",280204,1.098612289,0,1,0,0,1,1,1,0,0,0,1,5,0,5,1.791759469,1
"15",75,1,1,11,3,4,2,1,1,1,5,5,2,5,5,4,2,2,4,1,"Suburban",231103,0,0,1,0,0,0,1,0,0,1,0,0,3,0,3,1.386294361,1
"16",76,1,1,11,3,5,2,1,2,1,5,5,1,5,5,4,3,2,4,1,"Urban",626502,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"17",78,1,1,11,3,5,2,1,2,2,4,4,2,4,4,1,2,2,3,1,"Suburban",575802,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"18",79,1,1,11,3,5,2,1,2,2,4,4,2,4,4,2,2,3,4,1,"Rural",94304,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,2
"19",80,1,1,11,3,5,2,1,2,4,4,4,4,4,4,3,2,3,4,1,"Suburban",408704,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1.098612289,3
"20",82,1,1,11,3,5,2,1,4,4,4,4,2,4,4,3,3,3,3,2,"Suburban",421402,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2
"21",83,1,1,11,3,5,2,3,1,1,5,5,2,4,4,4,2,2,4,1,"Urban",658102,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"22",84,1,1,11,3,5,2,5,2,2,4,4,2,4,4,3,4,1,4,1,"Urban",607802,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"23",85,1,1,11,4,5,1,1,1,1,5,5,2,5,5,2,4,1,4,1,"Suburban",109802,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"24",86,1,1,11,4,5,1,1,1,1,5,5,2,5,5,4,4,1,4,1,"Urban",728004,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"25",89,1,1,11,4,5,1,1,2,2,4,4,2,4,4,3,3,3,4,2,"Urban",728404,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"26",90,1,1,11,4,4,1,1,2,2,4,5,4,5,5,2,2,2,4,1,"Rural",106104,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"27",93,1,1,11,4,5,1,1,2,2,5,5,2,5,5,3,2,2,4,1,"Urban",320603,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"28",94,1,1,11,4,5,1,1,2,2,5,5,2,5,5,4,3,3,4,1,"Suburban",146502,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"29",95,1,1,11,4,4,1,1,2,2,5,5,5,5,4,1,4,3,4,1,"Suburban",113702,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"30",97,1,1,11,4,5,1,1,2,3,4,4,2,4,4,4,4,3,4,2,"Suburban",174803,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"31",98,1,1,11,4,3,1,1,3,2,4,4,3,4,4,3,3,1,4,1,"Rural",384702,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,3
"32",99,1,1,11,4,4,1,1,3,3,5,5,2,5,5,3,4,3,4,1,"Rural",215502,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"33",102,1,1,11,4,5,1,1,4,2,4,5,3,5,5,4,4,1,4,1,"Suburban",211103,0,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,1
"34",103,1,1,11,4,5,1,3,1,2,4,5,1,5,4,3,4,2,4,1,"Urban",503102,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"35",104,1,1,11,4,4,1,3,2,2,4,4,2,5,4,2,3,2,4,1,"Rural",497502,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"36",106,1,1,11,4,4,1,3,2,4,4,3,3,4,3,3,3,1,4,1,"Urban",598103,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"37",108,1,1,11,4,4,1,3,4,1,5,4,3,4,4,2,3,1,4,3,"Suburban",93203,0,1,1,0,0,0,1,0,0,0,0,1,4,0,4,1.609437912,1
"38",109,1,1,11,4,5,1,3,4,2,4,4,2,4,4,2,2,2,4,1,"Suburban",370605,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,1.098612289,1
"39",110,1,1,11,4,3,1,3,4,2,4,4,4,4,4,3,3,3,4,1,"Suburban",223302,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"40",111,1,1,11,4,4,2,1,2,1,5,4,2,4,4,4,3,3,4,2,"Urban",753702,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1.098612289,1
"41",113,1,1,11,4,3,2,1,2,2,4,4,2,4,4,2,3,1,4,1,"Suburban",133102,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"42",114,1,1,11,4,4,2,1,2,3,4,5,2,5,5,2,4,3,4,1,"Rural",280203,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"43",116,1,1,11,4,4,2,1,3,2,5,4,3,3,4,2,3,3,4,3,"Urban",632102,0,1,1,0,0,0,1,0,0,0,0,0,3,0,3,1.386294361,1
"44",118,1,1,11,4,4,2,1,4,3,5,4,2,4,4,2,1,2,4,1,"Suburban",91602,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"45",119,1,1,11,4,3,2,3,2,2,5,3,4,3,3,4,3,2,2,3,"Rural",9202,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,1.098612289,1
"46",121,1,1,11,4,4,2,3,3,2,5,4,2,4,4,2,4,2,4,3,"Urban",701603,0,0,1,0,0,0,1,1,0,0,0,0,3,1,4,1.609437912,1
"47",122,1,1,11,4,1,2,3,3,2,5,5,2,5,4,1,3,2,3,1,"Suburban",76002,0,0,1,0,0,0,1,1,0,1,0,0,4,1,5,1.791759469,1
"48",125,1,1,11,4,2,2,5,1,2,5,5,1,5,5,3,3,1,4,1,"Suburban",438002,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"49",128,1,1,11,5,5,1,1,1,3,5,5,4,5,5,4,3,1,4,1,"Suburban",510102,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2
"50",129,1,1,11,5,2,1,1,1,5,5,5,1,5,5,3,4,2,4,3,"Suburban",576204,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"51",131,1,1,11,5,5,1,1,2,2,4,5,2,5,4,4,4,3,4,1,"Urban",695802,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"52",132,1,1,11,5,4,1,1,2,2,4,5,2,5,5,3,2,2,4,1,"Urban",692602,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"53",133,1,1,11,5,3,1,1,2,2,5,2,5,5,4,2,4,2,4,1,"Suburban",278403,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,1
"54",138,1,1,11,5,3,1,1,4,2,5,5,3,5,5,3,3,1,4,1,"Suburban",499202,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"55",139,1,1,11,5,5,1,3,1,1,5,5,1,5,5,4,4,3,4,1,"Urban",598203,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"56",140,1,1,11,5,5,1,3,1,1,5,5,2,5,4,4,4,1,4,1,"Urban",571602,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"57",142,1,1,11,5,4,1,3,3,1,5,5,2,5,5,3,3,1,4,1,"Rural",110502,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"58",143,1,1,11,5,5,1,3,5,1,5,5,2,5,5,1,2,3,4,2,"Urban",672802,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"59",144,1,1,11,5,5,1,5,1,1,5,5,1,5,5,4,4,3,4,1,"Urban",749602,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,2
"60",145,1,1,11,5,5,1,5,1,1,5,5,2,5,5,4,4,3,4,1,"Suburban",712302,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"61",146,1,1,11,5,5,1,5,2,2,2,4,4,4,4,4,4,3,4,1,"Suburban",536306,0,0,1,0,1,0,1,0,0,0,0,0,3,0,3,1.386294361,1
"62",148,1,1,11,5,2,1,5,4,1,5,5,1,5,5,1,2,3,4,1,"Suburban",51802,0,0,1,0,0,0,1,0,0,0,0,0,2,1,3,1.386294361,1
"63",149,1,1,11,5,5,1,5,4,2,5,5,4,4,4,4,2,1,4,1,"Urban",564604,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"64",151,1,1,11,5,5,2,1,2,1,5,5,1,5,5,1,1,3,4,1,"Suburban",430102,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"65",153,1,1,11,5,5,2,1,2,2,4,4,2,4,5,2,2,3,4,1,"Suburban",147103,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"66",154,1,1,11,5,5,2,1,2,2,5,5,1,5,5,2,2,3,4,1,"Suburban",536202,0,0,1,0,0,0,1,1,0,0,0,0,3,1,4,1.609437912,2
"67",155,1,1,11,5,4,2,3,2,2,5,5,2,4,5,3,4,2,4,1,"Suburban",222202,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1.098612289,1
"68",156,1,1,11,5,5,2,3,4,2,4,4,2,4,4,4,4,3,4,1,"Suburban",409403,0,0,1,0,0,0,1,0,0,0,0,0,2,1,3,1.386294361,3
"69",157,1,1,11,5,4,2,3,5,1,5,5,1,5,5,3,4,1,4,2,"Urban",642602,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"70",160,1,1,11,5,5,2,5,2,2,4,4,2,4,4,4,4,3,4,1,"Rural",435202,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"71",161,1,1,11,5,4,2,5,3,2,5,5,5,5,5,4,4,1,4,2,"Suburban",536803,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,1
"72",164,1,1,11,5,4,2,5,5,5,5,1,5,5,1,4,4,3,4,1,"Rural",81102,0,1,1,1,0,0,1,1,0,1,1,1,8,0,8,2.197224577,2
"73",180,1,1,12,1,5,1,3,1,1,4,5,1,5,5,2,4,1,4,1,"Rural",185902,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"74",181,1,1,12,2,5,1,1,1,1,5,5,2,5,5,2,4,2,4,2,"Suburban",357902,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"75",182,1,1,12,2,4,1,1,2,1,5,5,3,5,5,3,4,1,4,1,"Urban",596303,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"76",183,1,1,12,2,3,1,1,2,2,4,4,4,4,4,3,4,1,4,1,"Rural",524902,0,0,1,0,0,0,0,1,0,0,0,0,2,1,3,1.386294361,1
"77",184,1,1,12,2,2,2,1,2,2,5,3,2,4,4,3,2,3,4,3,"Rural",200502,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"78",185,1,1,12,2,3,2,1,4,1,5,5,3,5,5,3,3,1,4,2,"Suburban",60102,0,0,1,0,0,0,1,1,0,1,0,0,4,0,4,1.609437912,1
"79",187,1,1,12,2,2,2,5,4,4,4,5,2,5,4,4,3,1,3,1,"Rural",94303,0,0,1,0,1,1,1,0,0,1,0,0,5,0,5,1.791759469,2
"80",188,1,1,12,3,4,1,1,1,2,5,4,2,4,5,4,2,3,4,1,"Suburban",133602,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"81",189,1,1,12,3,3,1,1,2,2,4,4,2,4,4,3,4,2,4,1,"Suburban",415303,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"82",190,1,1,12,3,5,1,1,2,2,4,4,2,4,4,4,3,2,4,1,"Urban",701902,0,1,1,0,0,0,0,0,0,0,1,0,3,0,3,1.386294361,1
"83",192,1,1,12,3,3,1,1,2,4,4,4,2,4,4,2,2,3,4,1,"Suburban",605802,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"84",193,1,1,12,3,5,1,1,2,4,4,4,3,2,4,1,4,3,3,1,"Suburban",405702,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"85",195,1,1,12,3,3,1,1,4,1,5,4,4,4,5,4,2,2,4,1,"Suburban",247702,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,1.098612289,1
"86",199,1,1,12,3,5,1,5,5,1,5,1,2,5,5,4,4,3,4,3,"Suburban",376403,0,1,1,0,1,0,1,1,0,0,0,0,5,1,6,1.945910149,1
"87",201,1,1,12,3,5,2,3,2,2,5,5,1,5,5,4,4,3,4,1,"Suburban",183503,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2
"88",202,1,1,12,3,3,2,3,4,2,4,4,4,4,4,2,4,3,4,1,"Urban",784502,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,1.098612289,1
"89",203,1,1,12,3,5,2,5,4,4,4,4,3,5,4,4,3,2,4,1,"Suburban",539803,0,1,1,0,0,1,0,1,0,1,0,0,5,0,5,1.791759469,1
"90",204,1,1,12,4,5,1,1,1,2,4,4,2,4,4,2,2,3,4,1,"Urban",645702,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"91",205,1,1,12,4,4,1,1,1,3,5,2,4,2,2,2,2,1,4,1,"Urban",401802,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1
"92",206,1,1,12,4,5,1,1,2,2,4,4,2,4,4,2,3,1,4,1,"Suburban",193902,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"93",208,1,1,12,4,5,1,1,2,2,4,5,2,5,5,4,3,3,4,2,"Urban",605204,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"94",209,1,1,12,4,5,1,1,2,2,4,5,2,5,5,4,4,3,4,1,"Suburban",298802,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"95",210,1,1,12,4,4,1,1,2,2,5,4,4,4,4,4,4,1,4,1,"Suburban",458302,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2
"96",211,1,1,12,4,4,1,1,2,2,5,5,1,5,5,2,2,2,4,1,"Urban",790702,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1
"97",213,1,1,12,4,3,1,1,3,3,5,5,4,4,5,1,3,1,4,1,"Urban",666802,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,3
"98",215,1,1,12,4,5,1,1,4,2,4,4,4,4,4,1,4,2,4,1,"Urban",698604,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,1.098612289,1
"99",218,1,1,12,4,5,1,3,2,1,5,5,2,5,5,4,4,1,4,1,"Suburban",232902,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"100",219,1,1,12,4,5,1,3,2,2,4,5,3,4,4,4,4,2,4,1,"Suburban",91403,0,1,1,0,0,0,1,0,0,0,0,0,3,0,3,1.386294361,1
"101",220,1,1,12,4,4,1,3,2,3,4,4,3,4,4,3,2,3,4,2,"Suburban",139402,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,1
"102",223,1,1,12,4,5,1,5,4,2,4,5,1,5,5,4,3,1,4,1,"Rural",53102,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"103",224,1,1,12,4,5,1,5,4,4,4,4,4,4,4,4,4,2,4,1,"Rural",251803,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2
"104",226,1,1,12,4,5,2,1,1,1,5,4,2,4,4,2,2,2,4,2,"Urban",602602,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"105",230,1,1,12,4,4,2,1,2,2,5,4,3,4,4,3,2,3,4,1,"Suburban",365902,0,0,1,0,0,0,1,1,0,1,0,0,4,1,5,1.791759469,3
"106",232,1,1,12,4,4,2,1,2,2,5,5,4,5,5,4,4,2,4,1,"Suburban",204302,0,0,1,0,0,0,1,0,0,1,0,0,3,0,3,1.386294361,1
"107",234,1,1,12,4,4,2,1,4,1,1,4,3,4,4,4,4,1,4,1,"Suburban",246702,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"108",235,1,1,12,4,5,2,1,4,2,4,5,2,5,5,3,2,3,4,1,"Urban",705602,0,0,1,0,0,1,1,0,0,0,0,0,3,0,3,1.386294361,1
"109",236,1,1,12,4,4,2,1,4,2,5,5,2,5,5,4,4,2,4,2,"Rural",471102,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,2
"110",237,1,1,12,4,5,2,3,2,2,4,4,2,4,4,2,2,3,4,1,"Suburban",402302,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"111",238,1,1,12,4,4,2,3,2,2,4,4,2,4,4,4,4,3,4,1,"Rural",474402,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"112",240,1,1,12,4,5,2,3,2,2,5,5,2,5,4,3,3,1,4,1,"Urban",642303,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"113",241,1,1,12,4,5,2,3,2,2,5,5,2,5,5,4,4,2,4,1,"Suburban",221105,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"114",243,1,1,12,4,3,2,3,3,1,5,5,2,5,5,4,3,2,4,1,"Suburban",151703,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,1
"115",245,1,1,12,4,5,2,3,4,5,4,5,4,5,5,1,3,3,4,1,"Urban",668205,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"116",246,1,1,12,4,5,2,5,2,2,4,4,2,5,3,4,4,2,4,1,"Rural",320102,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,1.098612289,2
"117",247,1,1,12,4,4,2,5,4,4,4,5,4,5,5,3,2,3,4,1,"Suburban",119804,0,0,1,0,0,0,1,0,0,1,0,0,3,0,3,1.386294361,1
"118",248,1,1,12,5,4,1,1,2,1,5,4,2,4,4,4,4,3,4,2,"Urban",753902,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"119",254,1,1,12,5,4,1,1,2,2,5,5,2,5,5,1,3,2,4,2,"Suburban",152303,0,0,1,0,0,1,0,0,0,0,0,1,3,0,3,1.386294361,1
"120",256,1,1,12,5,5,1,1,2,3,4,4,2,4,4,4,4,3,4,1,"Urban",794804,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,1.098612289,1
"121",258,1,1,12,5,5,1,1,4,2,4,4,4,4,4,1,1,3,3,1,"Suburban",766402,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2
"122",259,1,1,12,5,4,1,3,1,2,5,4,4,5,5,4,4,2,4,1,"Suburban",237202,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"123",260,1,1,12,5,5,1,3,2,1,5,5,2,4,5,1,2,2,3,1,"Urban",599704,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"124",261,1,1,12,5,3,1,3,2,2,4,4,3,4,4,4,4,3,4,3,"Suburban",614503,0,1,1,0,1,0,1,1,0,0,0,1,6,1,7,2.079441542,1
"125",263,1,1,12,5,5,1,3,2,2,5,5,3,4,3,2,2,3,4,3,"Suburban",376302,0,1,1,0,0,0,1,1,1,0,0,0,5,0,5,1.791759469,3
"126",264,1,1,12,5,5,1,3,3,3,4,4,3,4,4,4,4,2,4,2,"Urban",596404,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,3
"127",265,1,1,12,5,5,1,3,4,2,2,2,2,2,2,4,2,2,4,1,"Urban",733105,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2
"128",266,1,1,12,5,3,1,3,4,2,5,4,2,4,4,4,3,2,4,1,"Urban",567302,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1
"129",267,1,1,12,5,3,1,3,4,2,5,5,4,5,5,3,3,3,4,2,"Urban",668206,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1
"130",269,1,1,12,5,4,1,5,2,1,4,5,2,5,5,3,4,3,4,1,"Urban",790603,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"131",270,1,1,12,5,4,1,5,2,2,4,5,3,5,4,4,4,3,4,1,"Suburban",32304,0,0,1,0,0,0,1,1,0,0,0,0,3,0,3,1.386294361,1
"132",271,1,1,12,5,5,2,1,2,2,4,4,2,4,4,4,3,3,4,1,"Rural",304703,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"133",272,1,1,12,5,4,2,1,2,2,5,5,2,5,5,4,4,3,4,2,"Urban",676902,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"134",273,1,1,12,5,4,2,1,2,2,5,5,3,5,5,2,3,1,4,1,"Urban",593402,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,3
"135",274,1,1,12,5,5,2,1,4,1,5,5,3,5,5,3,4,2,4,2,"Suburban",616602,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"136",276,1,1,12,5,4,2,1,4,4,4,5,3,5,5,2,2,1,4,1,"Suburban",623104,0,0,1,0,1,0,0,0,0,0,1,0,3,0,3,1.386294361,1
"137",277,1,1,12,5,4,2,3,1,2,5,4,2,4,4,3,4,1,4,1,"Urban",582304,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"138",278,1,1,12,5,5,2,3,2,1,5,5,1,5,5,2,2,3,4,1,"Suburban",166603,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"139",279,1,1,12,5,5,2,3,2,2,4,4,2,5,5,4,4,2,4,2,"Suburban",539804,0,1,1,0,0,0,0,1,0,1,0,0,4,0,4,1.609437912,1
"140",280,1,1,12,5,4,2,3,2,2,5,5,1,5,5,1,3,3,4,2,"Suburban",523302,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1.098612289,1
"141",281,1,1,12,5,5,2,3,4,2,4,4,2,4,4,4,3,3,4,2,"Urban",592402,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"142",282,1,1,12,5,5,2,3,4,2,4,4,4,4,2,3,3,3,4,1,"Rural",75503,0,0,1,0,1,1,1,0,0,1,0,0,5,0,5,1.791759469,2
"143",283,1,1,12,5,5,2,3,4,2,4,5,1,5,5,4,3,2,4,2,"Urban",748602,0,1,1,0,0,0,1,1,0,1,0,0,5,1,6,1.945910149,2
"144",285,1,1,12,5,3,2,3,5,2,3,3,4,3,3,3,4,2,3,3,"Rural",227202,0,1,1,0,0,0,1,1,0,1,0,1,6,0,6,1.945910149,1
"145",286,1,1,12,5,5,2,5,1,2,5,5,1,5,5,4,4,3,4,1,"Urban",625202,0,0,1,0,1,0,0,0,0,0,0,1,3,0,3,1.386294361,1
"146",287,1,1,12,5,3,2,5,1,2,5,5,2,5,5,4,4,2,4,1,"Suburban",262103,0,0,1,0,0,0,0,1,0,0,0,0,2,1,3,1.386294361,1
"147",289,1,1,12,5,4,2,5,2,3,4,5,3,5,5,3,4,1,4,1,"Urban",585602,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1
"148",290,1,1,12,5,3,2,5,2,3,5,4,1,4,4,3,4,2,4,1,"Rural",9902,0,1,1,0,0,0,1,1,0,0,0,0,4,1,5,1.791759469,1
"149",316,1,1,13,2,5,1,1,2,2,5,5,2,5,5,4,4,2,4,1,"Suburban",718203,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,2
"150",319,1,1,13,2,5,1,3,4,2,4,4,3,5,5,4,3,3,4,1,"Rural",213102,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,2
